start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1988-08-02,2008-08-02,20.0,240,240000,776698.8716611045,536698.8716611045,223.62452985879355,6.047899694694658,564.4071725313064,1826.56005859375
1988-09-02,2008-09-02,20.0,241,241000,778502.6602008116,537502.6602008116,223.03014946091767,6.038152620127479,572.7453049617834,1850.1400146484375
1988-10-02,2008-10-02,20.0,241,241000,619733.5661289172,378733.56612891715,157.1508573149034,4.83574814692691,579.8580649978428,1491.1099853515625
1988-11-02,2008-11-02,20.0,240,240000,547209.7858461161,307209.78584611614,128.00407743588173,4.20705697385666,585.4193680690802,1334.780029296875
1988-12-02,2008-12-02,20.0,241,241000,458610.5561684295,217610.5561684295,90.29483658441058,3.2693278229809053,593.8153763298549,1130.0
1989-01-02,2009-01-02,20.0,241,241000,506509.1130724841,265509.1130724841,110.16975646161164,3.783547381680852,601.2758317121117,1263.699951171875
1989-02-02,2009-02-02,20.0,241,241000,473426.26506588643,232426.26506588643,96.44243363729727,3.4336297108503055,608.7024976527122,1195.75
1989-03-02,2009-03-02,20.0,241,241000,421608.92492809903,180608.92492809903,74.94146262576723,2.835872622589819,615.4458913199512,1076.6700439453125
1989-04-02,2009-04-02,20.0,241,241000,500850.9264820892,259850.9264820892,107.82196119588765,3.7252695130011393,622.7927218953299,1294.300048828125
1989-05-02,2009-05-02,20.0,240,240000,532929.7524966949,292929.7524966949,122.05406354028953,4.06937257667721,628.9549368520267,1396.6199951171875
1989-06-02,2009-06-02,20.0,241,241000,559527.2347714254,318527.23477142537,132.168977083579,4.301417184240064,637.6002845810231,1480.31005859375
1989-07-02,2009-07-02,20.0,241,241000,541023.8633216262,300023.8633216262,124.49122959403579,4.126187885895072,644.2478986427625,1446.280029296875
1989-08-02,2009-08-02,20.0,240,240000,591980.7037855929,351980.7037855929,146.65862657733038,4.617615093795435,650.0319926369534,1603.3599853515625
1989-09-02,2009-09-02,20.0,241,241000,583116.9753747717,342116.97537477175,141.95725119285134,4.516999186680626,658.9097956093734,1594.280029296875
1989-10-02,2009-10-02,20.0,241,241000,601629.383657951,360629.383657951,149.63874840578882,4.680454558141389,665.9583100985551,1662.489990234375
1989-11-02,2009-11-02,20.0,241,241000,599066.449745065,358066.44974506495,148.57529035064937,4.658112441573614,672.9993282195586,1672.9100341796875
1989-12-02,2009-12-02,20.0,241,241000,634129.3116494993,393129.31164949934,163.12419570518645,4.956185705288818,680.5987345593865,1790.8199462890625
1990-01-02,2010-01-02,20.0,240,240000,650530.4396499298,410530.43964992976,171.0543498541374,5.112125717823068,686.323631992934,1860.31005859375
