start_date,end_date_QQQ,years_QQQ,num_investments_QQQ,total_invested_QQQ,final_value_QQQ,total_return_QQQ,total_return_pct_QQQ,xirr_QQQ,simple_cagr_QQQ,cagr_QQQ,avg_purchase_price_QQQ,final_price_QQQ,end_date_TQQQ,years_TQQQ,num_investments_TQQQ,total_invested_TQQQ,final_value_TQQQ,total_return_TQQQ,total_return_pct_TQQQ,xirr_TQQQ,simple_cagr_TQQQ,cagr_TQQQ,avg_purchase_price_TQQQ,final_price_TQQQ,TQQQ_vs_QQQ_value_ratio,TQQQ_vs_QQQ_cagr_diff,TQQQ_outperformed,TQQQ_vs_QQQ_xirr_diff
2004-06-11,2014-06-11,9.998631074606434,121,121000,238542.0744513438,117542.0744513438,97.14221029036678,13.102945611581498,7.024201925861084,13.102945611581498,47.11827023387465,92.88999938964844,2014-06-11,9.998631074606434,121,121000,441511.32509030553,320511.32509030553,264.88539263661613,24.566143436936947,13.821248309516877,24.566143436936947,0.0095361008693096,0.0347958390992044,1.8508740066329976,11.463197825355449,True,11.463197825355449
2004-09-11,2014-09-11,9.998631074606434,121,121000,251272.8109349916,130272.81093499158,107.66348011156327,14.074432347050736,7.582184311619256,14.074432347050736,48.15001550106537,99.98999786376952,2014-09-11,9.998631074606434,121,121000,534486.4080195811,413486.4080195811,341.72430414841415,28.099427864887105,16.01762275803229,28.099427864887105,0.0096882161318658,0.0427952052928787,2.127115966231068,14.024995517836368,True,14.024995517836368
2004-12-11,2014-12-11,9.998631074606434,121,121000,255446.989844224,134446.98984422398,111.11321474729256,14.385148103286014,7.759603537447779,14.385148103286014,49.16793255979207,103.8000030517578,2014-12-11,9.998631074606434,121,121000,575175.4105279661,454175.4105279661,375.3515789487323,29.464053150061908,16.872077263184913,29.464053150061908,0.0098280137094691,0.0467176183472594,2.2516429372634925,15.078905046775894,True,15.078905046775894
2005-03-11,2015-03-11,9.998631074606434,121,121000,253564.23602072595,132564.23602072595,109.55721985183962,14.255071064210249,7.679904524459458,14.255071064210249,50.158138519238825,105.11000061035156,2015-03-11,9.998631074606434,121,121000,575799.1553588666,454799.15535886656,375.86707054451784,29.50021863715891,16.884746925184935,29.50021863715891,0.0099512908819232,0.0473549164011716,2.2708216442314115,15.24514757294866,True,15.24514757294866
2005-06-11,2015-06-11,9.998631074606434,121,121000,258543.5487944875,137543.5487944875,113.6723543756095,14.615105826753824,7.889541671555,14.615105826753824,51.316887412176776,109.6500015258789,2015-06-11,9.998631074606434,121,121000,629845.0434161565,508845.04341615655,420.5330937323608,31.15937105078944,17.938240290689045,31.15937105078944,0.0101258290510188,0.0527082912253185,2.4361274777612465,16.544265224035613,True,16.544265224035613
2005-09-11,2015-09-11,9.998631074606434,121,121000,243600.73027938488,122600.73027938488,101.3229175862685,13.493785635412628,7.24905697844227,13.493785635412628,52.43814313866508,105.56999969482422,2015-09-11,9.998631074606434,121,121000,526740.8541350223,405740.85413502227,335.3230199462994,27.830769154482244,15.848365142160814,27.830769154482244,0.0102785282886823,0.0447447997523267,2.162312294921714,14.336983519069616,True,14.336983519069616
2005-12-11,2015-12-11,9.998631074606434,121,121000,250232.3134485707,129232.3134485707,106.8035648335295,13.999844559913344,7.537546183106336,13.999844559913344,53.57257792181188,110.79000091552734,2015-12-11,9.998631074606434,121,121000,582516.6220025227,461516.6220025227,381.4186958698535,29.702109283028232,17.020416552371408,29.702109283028232,0.0104264537445329,0.0501948976424041,2.3279032750590187,15.702264723114888,True,15.702264723114888
2006-03-11,2016-03-11,10.001368925393566,121,121000,236006.04729994948,115006.04729994948,95.04632008260288,12.90188117075248,6.907901505856895,12.90188117075248,54.597286336225466,106.48999786376952,2016-03-11,10.001368925393566,121,121000,487111.95986508095,366111.95986508095,302.5718676570917,26.38689274945216,14.941289089047483,26.38689274945216,0.0105334345807785,0.042404644320278,2.0639808404824094,13.485011578699678,True,13.485011578699678
2006-06-11,2016-06-11,10.001368925393566,120,120000,235512.43796112933,115512.43796112933,96.26036496760776,12.944236689147676,6.974250440387597,12.944236689147676,55.50789761314592,108.94000244140624,2016-06-11,10.001368925393566,120,120000,504827.864847374,384827.864847374,320.68988737281165,27.089923332727693,15.448333127103652,27.089923332727693,0.0106011592423485,0.0445980048768483,2.143529527432833,14.145686643580017,True,14.145686643580017
2006-09-11,2016-09-11,10.001368925393566,120,120000,240900.4037823487,120900.4037823487,100.7503364852906,13.369980912946373,7.216465364710278,13.369980912946373,56.926429504475784,114.27999877929688,2016-09-11,10.001368925393566,120,120000,557078.1952788265,437078.1952788265,364.2318293990221,28.918097412730383,16.590822354813596,28.918097412730383,0.0108298134516936,0.0502754411072989,2.312483443498673,15.54811649978401,True,15.54811649978401
