start_date,end_date_QQQ,years_QQQ,num_investments_QQQ,total_invested_QQQ,final_value_QQQ,total_return_QQQ,total_return_pct_QQQ,cagr_QQQ,avg_purchase_price_QQQ,final_price_QQQ,end_date_TQQQ,years_TQQQ,num_investments_TQQQ,total_invested_TQQQ,final_value_TQQQ,total_return_TQQQ,total_return_pct_TQQQ,cagr_TQQQ,avg_purchase_price_TQQQ,final_price_TQQQ,TQQQ_outperformed,TQQQ_vs_QQQ_value_ratio,TQQQ_vs_QQQ_cagr_diff
2001-12-11,2021-12-11,20.0,240,240000,1845424.2345410278,1605424.2345410278,668.9267643920949,10.737381229225274,50.40867640363595,387.6058044433594,2021-12-11,20.0,240,240000,27597485.606968503,27357485.606968503,11398.952336236876,26.774794048834096,0.027447311696102972,3.15615328951325,True,14.954548168612419,16.03741281960882
2002-03-11,2022-03-11,20.0,241,241000,1481170.565036153,1240170.565036153,514.5935954506859,9.503853250186655,51.46871487669937,316.32342529296875,2022-03-11,20.0,241,241000,13932197.217801686,13691197.217801686,5680.994696183272,22.489857258856105,0.027737674462934906,1.6035134895468488,True,9.406207189555934,12.98600400866945
2002-06-11,2022-06-11,20.0,240,240000,1292638.9364087575,1052638.9364087575,438.5995568369823,8.78356810478953,52.35745289755143,281.99700927734375,2022-06-11,20.0,240,240000,8797199.22857243,8557199.22857243,3565.499678571846,19.73101365147474,0.027952098111205793,1.0245840664203354,True,6.805612132505488,10.94744554668521
2002-09-11,2022-09-11,20.0,240,240000,1337590.8021031872,1097590.8021031872,457.329500876328,8.969661444535149,53.89827574865709,300.3909912109375,2022-09-11,20.0,240,240000,9624521.993857259,9384521.993857259,3910.2174974405243,20.270300584669187,0.02893017851678917,1.160163080921059,True,7.19541580184609,11.300639140134038
2002-12-11,2022-12-11,20.0,240,240000,1191508.8964640144,951508.8964640144,396.4620401933393,8.341364848529675,55.67056226914801,276.3832092285156,2022-12-11,20.0,240,240000,6545545.535027679,6305545.535027679,2627.310639594866,17.97411560643376,0.0304713457636055,0.8310482550385523,True,5.4934927925864345,9.632750757904084
2003-03-11,2023-03-11,20.0,240,240000,1185529.779847693,945529.7798476929,393.9707416032054,8.314116425392282,57.379830691063994,283.4395751953125,2023-03-11,20.0,240,240000,6458515.413115551,6218515.413115551,2591.048088798146,17.895186263130668,0.031900746795060386,0.8584644369408083,True,5.447788425816927,9.581069837738386
2003-06-11,2023-06-11,20.0,240,240000,1414322.4482095423,1174322.4482095423,489.30102008730927,9.274004736813858,59.18209357599148,348.76068115234375,2023-06-11,20.0,240,240000,11161914.726011952,10921914.726011952,4550.797802504981,21.164772979508896,0.03351897219827142,1.5588996224194624,True,7.892057953363003,11.890768242695039
2003-09-11,2023-09-11,20.0,241,241000,1467452.9304643085,1226452.9304643085,508.90163089805327,9.452921168860119,60.99106842657494,371.3756103515625,2023-09-11,20.0,241,241000,12777835.558956046,12536835.558956046,5202.006455998359,21.961290928273524,0.0347309935196426,1.8414395186438224,True,8.707492617778945,12.508369759413405
2003-12-11,2023-12-11,20.0,241,241000,1504985.2738191863,1263985.2738191863,524.4752173523594,9.591219683555208,62.48675913923321,390.2143249511719,2023-12-11,20.0,241,241000,14141137.673788574,13900137.673788574,5767.691980825134,22.58105798744996,0.035570005243871765,2.0871383452737433,True,9.39619670689717,12.989838303894752
2004-03-11,2024-03-11,20.0,241,241000,1630087.389158495,1389087.389158495,576.3848087794586,10.029640059334755,63.959458422421804,432.612060546875,2024-03-11,20.0,241,241000,18494803.55531329,18253803.55531329,7574.192346603024,24.237194022649035,0.036314843251075514,2.7868709214549225,True,11.34589696130397,14.20755396331428
2004-06-11,2024-06-11,20.0,241,241000,1703575.0156306275,1462575.0156306275,606.8775998467335,10.272497550989822,65.57281796283817,463.5195617675781,2024-06-11,20.0,241,241000,21788568.47519433,21547568.47519433,8940.899782238312,25.259473744356885,0.03720557138304578,3.363718422150306,True,12.789908442704334,14.986976193367063
2004-09-11,2024-09-11,20.0,241,241000,1664148.4771478428,1423148.4771478428,590.5180403103083,10.143469222549184,67.31924067558707,464.85150146484375,2024-09-11,20.0,241,241000,20479326.024226625,20238326.024226625,8397.645653206067,24.871960682730567,0.0382469931040609,3.250093946989256,True,12.306189204538896,14.728491460181383
2004-12-11,2024-12-11,20.0,241,241000,1836378.6486417814,1595378.6486417814,661.9828417600753,10.687163847944525,69.08254712741483,526.3971557617188,2024-12-11,20.0,241,241000,28415096.180165477,28174096.180165477,11690.496340317626,26.93360205054789,0.03922880065523162,4.625270305605581,True,15.473440731399155,16.246438202603365
2005-03-11,2025-03-11,20.0,241,241000,1596985.2491710575,1355985.2491710575,562.6494809838413,9.91682955927844,70.80972970805455,469.2203063964844,2025-03-11,20.0,241,241000,18975294.549382854,18734294.549382854,7773.566203063425,24.396618265162573,0.04008829014275101,3.15637806406565,True,11.881947287385595,14.479788705884133
2005-06-11,2025-06-11,20.0,241,241000,1757737.165478039,1516737.165478039,629.3515209452444,10.445199661941507,72.73767880975554,530.5133666992188,2025-06-11,20.0,241,241000,24195228.401046924,23954228.401046924,9939.51385935557,25.91736711639676,0.04117066211329291,4.133334328852494,True,13.764986527133438,15.472167454455255
2005-09-11,2025-09-11,20.0,241,241000,1880253.0631274793,1639253.0631274793,680.1879929989541,10.817912017377829,74.68110511379017,582.6530151367188,2025-09-11,20.0,241,241000,30883524.65957889,30642524.65957889,12714.740522646842,27.463397661767686,0.04216465007962594,5.40329049998607,True,16.42519577030202,16.645485644389858
2005-12-11,2025-12-11,20.0,241,241000,1963550.8101528361,1722550.8101528361,714.7513735074009,11.05835977265317,76.68291282034194,624.7750854492188,2025-12-11,20.0,241,241000,36327768.01715452,36086768.01715452,14973.762662719719,28.502354055060962,0.0431413667409737,6.503027231987876,True,18.501058301784862,17.443994282407793
