Date,Underlying_Growth,Leveraged_Growth,Naive_Expectation,Gap,Gap_Pct
2015-12-18,2.3570128729435433,0.14086233357919684,13.09440783911576,-12.953545505536564,-98.92425579445899
2015-12-21,2.383194626727957,0.14555112952057644,13.535631831785839,-13.390080702265262,-98.92468167478685
2015-12-22,2.398861007716492,0.14841606617690992,13.804327552448001,-13.65591148627109,-98.92485841405153
2015-12-23,2.4166736274489153,0.15171663885450618,14.11412658868656,-13.962409949832054,-98.92507242370834
2015-12-24,2.416243569931583,0.15162992348314358,14.106592920003253,-13.95496299652011,-98.92511307058325
2015-12-28,2.4149563900025064,0.15138187865050448,14.084060358825793,-13.932678480175289,-98.92515457337102
2015-12-29,2.4529412246218025,0.15851942578650716,14.759152711217789,-14.600633285431282,-98.92595849580157
2015-12-30,2.4308373596581023,0.15422811442269713,14.363745687260543,-14.209517572837846,-98.92626813520178
2015-12-31,2.4005777170529745,0.14846269532707268,13.83398535391857,-13.685522658591497,-98.92682627942048
2016-01-04,2.3499307427839864,0.13906037756725192,12.976727614889125,-12.837667237321872,-98.92838640299657
2016-01-05,2.3458532060365576,0.1383312537083684,12.909294150799047,-12.770962897090678,-98.92843673641283
2016-01-06,2.323319283555525,0.13433966952243193,12.540841854795977,-12.406502185273546,-98.9287826839866
2016-01-07,2.250568620359479,0.12171477265104984,11.39926310436495,-11.2775483317139,-98.93225753685391
2016-01-08,2.232112234625875,0.11871572123377665,11.121108651806768,-11.002392930572992,-98.93251900551758
2016-01-11,2.2389801281916566,0.1198070602775759,11.224079062313317,-11.10427200203574,-98.93258894905821
2016-01-12,2.264947117272368,0.12397099783392736,11.619145743128536,-11.495174745294609,-98.93304550459536
2016-01-13,2.1868306811799623,0.11113930625939963,10.457923851089484,-10.346784544830085,-98.93727179656389
2016-01-14,2.233399942664879,0.11823535811536612,11.140367097728275,-11.02213173961291,-98.93867628348194
2016-01-15,2.1640821700318695,0.107221929913827,10.134941368974667,-10.02771943906084,-98.94205673214788
2016-01-19,2.168803648817122,0.1079196810408461,10.201421821510104,-10.093502140469258,-98.94211137497233
2016-01-20,2.1621506959916847,0.10692245973678319,10.107828844800695,-10.000906385063912,-98.94218173478687
2016-01-21,2.164296934735572,0.10723683568019268,10.137959059883771,-10.03072222420358,-98.94222461299404
2016-01-22,2.226961754543145,0.11654756431317909,11.044302054415171,-10.927754490101991,-98.94472675829626
2016-01-25,2.193911931156307,0.11135420446526889,10.559845640980672,-10.448491436515404,-98.94549401334879
2016-01-26,2.2136563770021995,0.11435645415172709,10.847524018716918,-10.733167564565191,-98.94578289059872
2016-01-27,2.158502512615019,0.10580447450063463,10.056750496407501,-9.950946021906866,-98.94792582814468
2016-01-28,2.1889763918139225,0.110281749246986,10.488737901137082,-10.378456151890095,-98.94856988241617
2016-01-29,2.234687122593956,0.11718638172852221,11.159639852215232,-11.04245347048671,-98.94990892824144
2016-02-01,2.240696309418212,0.11812732433026221,11.249908664918603,-11.131781340588342,-98.94997081444203
2016-02-02,2.1921955738931107,0.11045213667913163,10.535081257408917,-10.424629120729785,-98.95157774315736
2016-02-03,2.1816796729873054,0.1088584653698948,10.384197889764266,-10.275339424394371,-98.95169115105946
2016-02-04,2.181465260356888,0.10882226617490534,10.381136554407071,-10.272314288232165,-98.95173071267705
2016-02-05,2.1057094756387866,0.09748094515660496,9.336741916925314,-9.23926097176871,-98.95594259727909
2016-02-08,2.0735183589934745,0.09300653890027749,8.915047365565197,-8.822040826664919,-98.95674655347855
2016-02-09,2.0670803469083827,0.09213671210359757,8.8322646468786,-8.740127934775003,-98.95681667400943
2016-02-10,2.0750213598461076,0.0931951115310022,8.934447780302314,-8.841252668771311,-98.95690126773734
2016-02-11,2.0720167664339795,0.09278676371371157,8.895693193905698,-8.802906430191987,-98.95694734866443
2016-02-12,2.103563236894899,0.09702130327355284,9.308221658300878,-9.211200355027325,-98.95768164064903
2016-02-16,2.1509917332312694,0.10358018843217295,9.952134205359505,-9.848554016927332,-98.95921632189815
2016-02-17,2.199706705350146,0.11061383646050926,10.643741929402449,-10.53312809294194,-98.96076175846629
2016-02-18,2.17459842301096,0.10682190229427597,10.28341129675202,-10.176589394457743,-98.96122114333775
2016-02-19,2.1810352028395554,0.10776644912788833,10.37499810359125,-10.267231654463362,-98.96128704745897
2016-02-22,2.216445677600698,0.11301135422607662,10.88858072472275,-10.775569370496674,-98.96211125138208
2016-02-23,2.179963315724108,0.10742664429178474,10.359708993742819,-10.252282349451034,-98.963034151281
2016-02-24,2.200779824722089,0.11050005136627494,10.659327069074507,-10.548827017708232,-98.96334871188198
2016-02-25,2.222454512351669,0.11376071127952682,10.97737859485112,-10.863617883571592,-98.963680533594
2016-02-26,2.2196650357165284,0.113328068115176,10.936096233297567,-10.82276816518239,-98.96372466282692
2016-02-29,2.1997067053501462,0.11026679535137421,10.643741929402454,-10.53347513405108,-98.96402227635029
2016-03-01,2.2703120099855165,0.1208805367425825,11.701906931748551,-11.581026395005969,-98.9670013832137
