Date,Rolling_Variance,Rolling_Volatility,Expected_Drag,Naive_Growth,Actual_Growth,Performance_Gap_Pct
2021-05-07,0.054096921087333036,0.23258744825835515,-0.1622907632619991,420.62304799301,1.9158877417648874,-99.54451194462442
2021-05-10,0.05467986566784782,0.23383726321492868,-0.16403959700354345,389.55345033643493,1.7706623266068573,-99.54546357500425
2021-05-11,0.05463428843686982,0.23373978787718155,-0.16390286531060946,387.94115430537937,1.7632569689584643,-99.5454833937081
2021-05-12,0.0548821725450634,0.23426944432653482,-0.1646465176351902,358.59060937883254,1.6262741336826365,-99.5464816726518
2021-05-13,0.054720710842602535,0.2339245836644848,-0.1641621325278076,366.9724087365763,1.6639334335605829,-99.54657805493082
2021-05-14,0.05504532707403618,0.23461740573545728,-0.16513598122210854,391.8179796493623,1.7740750815234825,-99.54721958315668
2021-05-17,0.05508124956179095,0.23469394871148885,-0.16524374868537287,384.73047928625715,1.74172192545833,-99.5472877717696
2021-05-18,0.05485807826920537,0.23421801439941672,-0.16457423480761613,376.99098274359477,1.706381009619236,-99.54736821628973
2021-05-19,0.05484195007446262,0.2341835819916986,-0.16452585022338784,378.2914304094331,1.7121961658866673,-99.54738700688156
2021-05-20,0.05481919433251342,0.23413499168751653,-0.16445758299754026,400.67113686623543,1.8114907417643897,-99.54788589067518
2021-05-21,0.05471437389463553,0.23391103841981364,-0.1641431216839066,394.0549335503014,1.7813434874800342,-99.54794539141263
2021-05-24,0.054944249277784636,0.23440189691592653,-0.16483274783335392,414.2743132936334,1.871158744307692,-99.54832856291975
2021-05-25,0.05492568834171302,0.23436230145164777,-0.16477706502513906,415.99579853130297,1.8788529163942242,-99.5483481027867
2021-05-26,0.054914351405732455,0.23433811342957522,-0.16474305421719737,420.3587672884136,1.8984190261402563,-99.54838124624203
2021-05-27,0.05493454044335712,0.23438118619752124,-0.16480362133007137,415.65850936448857,1.877040599565911,-99.54841761752074
2021-05-28,0.054765307896262556,0.23401988782208782,-0.16429592368878768,419.60412044784795,1.894731440358885,-99.5484478469047
2021-06-01,0.05478689860848933,0.2340660133562524,-0.16436069582546797,415.43394725726733,1.8757667770377713,-99.54848014000258
2021-06-02,0.05476003225733938,0.23400861577587134,-0.16428009677201813,417.87245181905365,1.8866849232365983,-99.54850220084535
2021-06-03,0.054892638505497825,0.23429178070409948,-0.16467791551649347,404.963010209566,1.827717221739756,-99.5486705759141
2021-06-04,0.055060364135966065,0.23464944946870445,-0.1651810924078982,425.9312321148691,1.9206961429415965,-99.5490595668684
2021-06-07,0.05472565604266787,0.2339351534991436,-0.1641769681280036,429.75006072378056,1.9377931670400599,-99.54908833200012
2021-06-08,0.05468680632333095,0.23385210352556368,-0.16406041896999285,430.3632750046901,1.9404838559369502,-99.54910561178441
2021-06-09,0.05465433264888575,0.2337826611382584,-0.16396299794665725,430.66992006834863,1.9417930198991167,-99.54912267390512
2021-06-10,0.05462324167789057,0.23371615621922798,-0.16386972503367173,444.27412403075476,2.00242332874406,-99.54928202647125
2021-06-11,0.05200635786590744,0.22804902513693726,-0.15601907359772232,447.76828823843084,2.0180555585715503,-99.54930806589479
2021-06-14,0.05202980284686632,0.22810042272399744,-0.15608940854059897,460.7646448671098,2.0759952830816024,-99.54944562127149
2021-06-15,0.05198367782456185,0.22799929347382167,-0.15595103347368555,451.7954570603202,2.035240867667147,-99.5495216173908
2021-06-16,0.051764174592865364,0.2275174160209837,-0.1552925237785961,446.8636181671747,2.0128659399576287,-99.54955698827901
2021-06-17,0.051887471050525366,0.2277882153460213,-0.15566241315157608,464.10273389132976,2.089464757582564,-99.54978400147245
2021-06-18,0.05197343886626721,0.22797683844256464,-0.15592031659880162,453.26247035743745,2.040196394509826,-99.5498863179868
2021-06-21,0.051993258153531785,0.2280203020643815,-0.15597977446059536,461.76634124021786,2.0781596547984833,-99.5499542800766
2021-06-22,0.05194406874490876,0.2279124146353348,-0.1558322062347263,474.8004451949098,2.136197314629326,-99.55008523343899
2021-06-23,0.05189517549280413,0.2278051261337289,-0.15568552647841238,475.4970973880948,2.1392495927617023,-99.55010249178963
2021-06-24,0.05142605945430848,0.2267731453552393,-0.15427817836292546,484.3719990601514,2.178851040700187,-99.55016990145428
2021-06-25,0.051369699246864714,0.22664884567732685,-0.15410909774059414,482.5878185105315,2.170733245833407,-99.55018896818963
2021-06-28,0.0508445736393181,0.22548741348314347,-0.1525337209179543,500.4101890812257,2.249851286187162,-99.55039858594446
2021-06-29,0.050762287216068326,0.225304876148006,-0.15228686164820499,505.8624489542787,2.274191413489204,-99.55043284628253
2021-06-30,0.05044637346071095,0.22460270136556895,-0.15133912038213285,503.47243033176386,2.263343975153004,-99.55045324454775
2021-07-01,0.05034414445478559,0.224375008534341,-0.1510324333643568,504.0689266176263,2.2659391220799474,-99.5504703816431
2021-07-02,0.05041600191034502,0.2245350794649803,-0.15124800573103506,521.6271425741033,2.3438839659800634,-99.55065912513417
2021-07-06,0.049887948640634186,0.22335610276111595,-0.14966384592190257,528.4199347438072,2.3741868548734693,-99.55070074030714
2021-07-07,0.04981852163903681,0.22320063091092912,-0.14945556491711043,531.7716383866109,2.389124803658834,-99.5507235378503
2021-07-08,0.04973620583709527,0.223016156000177,-0.1492086175112858,522.1946021662474,2.3457464490419166,-99.55079075131935
2021-07-09,0.04971019305469149,0.22295782797356878,-0.14913057916407446,532.0367901336595,2.389595143631946,-99.55085904058785
2021-07-12,0.049686804139751975,0.22290537036992175,-0.14906041241925594,538.2956332253108,2.417506570372935,-99.55089612080114
2021-07-13,0.04920354036265485,0.22181871057837943,-0.14761062108796455,538.2956332253108,2.417415434212544,-99.55091305130452
2021-07-14,0.049171805852088725,0.22174716650295384,-0.14751541755626618,541.1970648529109,2.43033091147929,-99.5509342032112
2021-07-15,0.04924294312648598,0.22190751029761474,-0.14772882937945794,529.8735006960061,2.3790302077241794,-99.55101921409558
2021-07-16,0.04926565536882471,0.22195867941764458,-0.14779696610647414,517.1025304219738,2.3211343885398157,-99.55112685551052
2021-07-19,0.049357530330557606,0.22216554712771647,-0.1480725909916728,504.4957235852257,2.263992112618519,-99.55123660979139
2021-07-20,0.0487294196258307,0.22074741136835718,-0.1461882588774921,522.2821403837391,2.342805614935926,-99.5514291158387
2021-07-21,0.048631935890629835,0.220526497026162,-0.1458958076718895,534.472337180653,2.3969789724705866,-99.55152422198039
2021-07-22,0.04865486348447648,0.22057847466259367,-0.14596459045342944,545.1412723160895,2.4444213125468885,-99.55159856046828
2021-07-23,0.04799682286196486,0.21908177208970367,-0.1439904685858946,564.4626462855398,2.5299626123961634,-99.55179273083088
2021-07-26,0.04787502088057973,0.21880361258576086,-0.1436250626417392,565.7975709475294,2.5358457557068195,-99.55181042020735
2021-07-27,0.04776463219131923,0.21855121182761544,-0.1432938965739577,547.3012268027795,2.4519313589223204,-99.55199600533585
2021-07-28,0.04756753118349296,0.21809981931100486,-0.14270259355047887,553.6329784163643,2.4800967317795863,-99.55203233397083
2021-07-29,0.04746662289864211,0.21786836139890095,-0.14239986869592633,556.5896435454554,2.49322463150476,-99.55205335557037
2021-07-30,0.047496937622467865,0.21793792148790414,-0.1424908128674036,547.9322747118251,2.4541474245598445,-99.55210752535967
2021-08-02,0.04722717808022844,0.21731814944966849,-0.1416815342406853,548.0676532891123,2.4546612076268546,-99.55212441513457
2021-08-03,0.04710110220509724,0.21702788347375376,-0.14130330661529172,558.0942532926099,2.499204266129148,-99.55218957167459
2021-08-04,0.04709542527918642,0.21701480428575934,-0.14128627583755926,560.516714209521,2.509942424805924,-99.55220917393237
2021-08-05,0.04711929539386387,0.21706979383107147,-0.14135788618159162,571.250662640642,2.557609842954551,-99.552278883821
2021-08-06,0.04700873170516961,0.21681497112784812,-0.14102619511550882,563.7734102497312,2.523889051581889,-99.55232208442327
2021-08-09,0.046843472992792,0.2164335301952819,-0.14053041897837598,566.9042109148993,2.5377839430584146,-99.55234343047782
2021-08-10,0.04685378668136867,0.21645735534134355,-0.14056136004410602,558.2310140610483,2.4986624335233554,-99.55239634298604
2021-08-11,0.046449647730495154,0.2155218033761205,-0.13934894319148547,555.3600157106579,2.4856954506464954,-99.55241728242432
2021-08-12,0.04588585461861083,0.21420983781939343,-0.1376575638558325,561.3869940157285,2.5124804577073165,-99.5524512529699
2021-08-13,0.04588977468687742,0.21421898768988107,-0.13766932406063226,567.3190116563821,2.53884144614922,-99.55248433527079
